@relation train
@attribute Attr1 numeric
@attribute Attr2 {'a','b'}
@attribute Attr3 {'a','b','c'}
@attribute Attr4 {'N','W'}
@attribute Attr5 numeric
@attribute Attr6 numeric
@attribute Attr7 numeric
@attribute Attr8 numeric
@attribute Attr9 {'a','b','c'}
@attribute Attr10 numeric
@attribute Attr11 numeric
@attribute Attr12 numeric
@attribute Attr13 numeric
@attribute Attr14 numeric
@attribute Attr15 numeric
@attribute Attr16 numeric
@attribute Attr17 numeric
@attribute Attr18 numeric
@attribute Attr19 numeric
@attribute class numeric
@data
300,'a','b','W',200350,1668,43,24,'a',0,0,0,0,0,0,0,0,0,0,0
301,'a','b','N',1200,15,-79,-74,'a',0,0,0,0,0,0,0,0,0,0,0
302,'b','a','W',29560,1067,2,35,'a',0,0,0,0,0,0,0,0,0,0,0
303,'b','a','W',28010,693,23,3,'a',0,0,0,0,0,0,0,0,0,0,0
304,'a','a','N',920,9,-65,-78,'a',0,0,0,0,0,0,0,0,0,0,0
305,'b','a','W',45910,656,69,39,'a',0,0,0,0,0,0,0,0,0,0,0
306,'a','a','N',750,15,-73,-62,'a',0,0,0,0,0,0,0,0,0,0,0
307,'b','a','W',73420,1202,53,96,'a',5,2,2,1,0,0,0,0,30200,20000,0
308,'b','a','W',77040,772,143,-7,'a',1,0,1,0,0,0,0,0,2000,2000,0
309,'b','a','N',8910,209,-22,-7,'a',0,0,0,0,0,0,0,0,0,0,0
310,'a','b','W',44500,660,49,59,'a',2,2,0,0,0,0,0,0,1100,700,0
311,'b','a','W',31800,585,-9,6,'a',1,1,0,0,0,0,0,0,100,100,0
312,'b','b','W',91210,2362,267,255,'a',0,0,0,0,0,0,0,0,0,0,0
313,'a','b','N',19040,50,7,0,'a',0,0,0,0,0,0,0,0,0,0,0
314,'b','b','N',19820,362,-21,-42,'a',0,0,0,0,0,0,0,0,0,0,0
315,'a','a','W',10870,220,-51,-40,'a',0,0,0,0,0,0,0,0,0,0,0
316,'b','b','W',93190,439,82,-53,'a',4,1,2,1,0,0,0,0,81400,70000,0
317,'b','a','W',38170,784,-27,12,'a',3,1,2,0,0,0,0,0,3500,2000,0
318,'b','b','N',23880,488,-4,-22,'a',0,0,0,0,0,0,0,0,0,0,0
319,'a','a','W',35510,313,8,3,'a',1,1,0,0,0,0,0,0,500,500,0
320,'a','a','W',40350,645,24,5,'a',0,0,0,0,0,0,0,0,0,0,0
321,'b','b','W',102380,508,19,37,'a',8,4,4,0,0,0,0,0,13400,8000,0
322,'a','a','W',11610,315,-21,3,'a',0,0,0,0,0,0,0,0,0,0,0
323,'a','b','N',26470,37,-8,-47,'a',2,2,0,0,0,0,0,0,900,600,0
324,'b','a','W',311200,1147,-38,-62,'a',3,1,2,0,0,0,0,0,14400,9000,0
325,'a','b','W',60340,495,68,96,'a',5,3,2,0,0,0,0,0,12500,8000,0
326,'a','b','N',53380,108,-13,-8,'a',3,2,1,0,0,0,0,0,1700,1000,0
327,'a','a','N',19260,53,97,32,'a',0,0,0,0,0,0,0,0,0,0,0
328,'b','b','W',54610,527,95,84,'a',6,1,5,0,0,0,0,0,14700,4000,1
329,'a','a','N',22200,685,153,130,'a',1,0,1,0,0,0,0,0,3000,3000,0
330,'b','a','W',54070,696,56,26,'a',0,0,0,0,0,0,0,0,0,0,0
331,'b','b','W',82030,349,681,57,'b',3,3,0,0,0,0,0,0,1300,600,0
332,'a','a','W',33310,541,40,18,'a',0,0,0,0,0,0,0,0,0,0,0
333,'a','a','W',14210,469,-53,-8,'a',0,0,0,0,0,0,0,0,0,0,0
334,'a','a','W',42220,382,29,-9,'a',1,0,1,0,0,0,0,0,8000,8000,0
335,'a','a','N',3110,23,6,-42,'a',0,0,0,0,0,0,0,0,0,0,0
336,'a','a','N',39890,66,69,39,'a',1,1,0,0,0,0,0,0,400,400,0
337,'a','a','N',42300,55,37,-10,'a',1,0,1,0,0,0,0,0,4000,4000,0
338,'a','a','N',31540,121,-32,-30,'a',0,0,0,0,0,0,0,0,0,0,0
339,'a','a','N',9010,255,-28,2,'a',0,0,0,0,0,0,0,0,0,0,0
340,'a','a','N',9430,44,-50,-17,'a',0,0,0,0,0,0,0,0,0,0,0
341,'a','a','W',74470,655,148,28,'a',0,0,0,0,0,0,0,0,0,0,0
342,'b','a','W',17880,237,-40,-47,'a',1,0,1,0,0,0,0,0,3000,3000,0
343,'a','b','W',84880,807,233,82,'a',1,1,0,0,0,0,0,0,800,800,0
344,'a','c','W',71540,608,80,-1,'c',2,0,2,0,0,0,0,0,4000,2000,0
345,'a','b','N',30820,786,147,214,'a',2,0,1,0,1,0,0,0,206000,2e+05,0
346,'a','a','W',11660,209,-47,-43,'a',1,1,0,0,0,0,0,0,400,400,0
347,'a','a','W',210960,773,-44,-35,'a',1,0,1,0,0,0,0,0,5000,5000,0
348,'a','a','W',13540,437,-20,-21,'a',0,0,0,0,0,0,0,0,0,0,0
349,'b','a','W',28240,460,-19,-15,'a',0,0,0,0,0,0,0,0,0,0,0
350,'a','a','N',25280,158,-54,-35,'a',1,0,1,0,0,0,0,0,4000,4000,0
351,'b','b','N',23040,482,201,103,'a',0,0,0,0,0,0,0,0,0,0,0
352,'b','b','W',19290,859,-51,-25,'a',1,1,0,0,0,0,0,0,200,200,0
353,'a','a','N',54750,233,-38,-40,'a',0,0,0,0,0,0,0,0,0,0,0
354,'b','b','W',63800,2116,88,121,'b',0,0,0,0,0,0,0,0,0,0,0
355,'b','b','W',59950,865,19,18,'a',1,1,0,0,0,0,0,0,700,700,0
356,'a','a','N',8170,274,-32,11,'a',0,0,0,0,0,0,0,0,0,0,0
357,'a','b','W',8690,251,-34,-23,'b',0,0,0,0,0,0,0,0,0,0,0
358,'b','a','W',66320,1644,72,53,'a',2,0,2,0,0,0,0,0,6000,5000,0
359,'a','a','N',5090,35,63,-12,'a',0,0,0,0,0,0,0,0,0,0,0
360,'b','b','W',42340,515,46,17,'a',0,0,0,0,0,0,0,0,0,0,0
361,'a','a','W',207930,614,-6,18,'a',2,2,0,0,0,0,0,0,1000,700,0
362,'a','a','W',16840,318,-28,-17,'a',0,0,0,0,0,0,0,0,0,0,0
363,'a','a','N',3430,23,27,-42,'a',0,0,0,0,0,0,0,0,0,0,0
364,'a','a','N',6040,112,-44,-24,'a',2,1,1,0,0,0,0,0,2400,2000,1
365,'b','b','N',7400,169,-28,-54,'b',0,0,0,0,0,0,0,0,0,0,0
366,'b','a','W',55130,800,88,61,'a',0,0,0,0,0,0,0,0,0,0,0
367,'a','b','W',4170,224,-78,-64,'a',0,0,0,0,0,0,0,0,0,0,0
368,'a','a','W',31250,430,-16,2,'a',3,0,3,0,0,0,0,0,4000,2000,1
369,'a','b','W',40900,776,43,57,'a',1,1,0,0,0,0,0,0,400,400,0
370,'a','a','N',7240,295,-29,-14,'a',0,0,0,0,0,0,0,0,0,0,0
371,'b','a','W',35540,487,31,3,'a',0,0,0,0,0,0,0,0,0,0,0
372,'a','a','W',17660,140,-60,-52,'a',1,1,0,0,0,0,0,0,900,900,0
373,'a','a','N',7020,98,-44,-61,'a',0,0,0,0,0,0,0,0,0,0,0
374,'b','a','W',9050,436,-10,1,'a',0,0,0,0,0,0,0,0,0,0,0
375,'a','a','W',95020,859,-20,-25,'a',1,1,0,0,0,0,0,0,600,600,0
376,'a','a','W',161390,314,49,65,'a',0,0,0,0,0,0,0,0,0,0,0
377,'a','b','W',13330,671,-64,-39,'a',0,0,0,0,0,0,0,0,0,0,0
378,'a','b','W',2595650,4365,81,66,'a',0,0,0,0,0,0,0,0,0,0,0
379,'a','b','N',21730,56,37,18,'a',0,0,0,0,0,0,0,0,0,0,0
380,'a','b','N',12520,321,37,3,'a',0,0,0,0,0,0,0,0,0,0,0
381,'b','a','W',79790,1419,39,80,'a',3,2,0,1,0,0,0,0,21200,20000,0
382,'a','a','W',61710,376,-29,-6,'a',4,1,2,1,0,0,0,0,22900,10000,0
383,'a','a','N',12640,57,-63,-52,'a',0,0,0,0,0,0,0,0,0,0,0
384,'a','b','N',315650,645,-33,-9,'a',1,0,1,0,0,0,0,0,5000,5000,0
385,'b','b','W',31620,208,-64,-45,'a',2,1,0,1,0,0,0,0,40400,40000,1
386,'b','b','W',1132810,1893,-14,34,'a',5,3,2,0,0,0,0,0,7000,3000,1
387,'b','a','W',13260,563,-8,36,'a',0,0,0,0,0,0,0,0,0,0,0
388,'b','b','W',39330,409,6,10,'a',6,4,2,0,0,0,0,0,8200,6000,1
389,'b','a','W',53660,627,97,33,'a',3,2,1,0,0,0,0,0,2100,1000,0
390,'a','a','W',28060,470,-14,-11,'a',0,0,0,0,0,0,0,0,0,0,0
391,'b','a','W',27960,804,95,94,'a',0,0,0,0,0,0,0,0,0,0,0
392,'b','a','W',38330,1042,-1,-3,'a',1,1,0,0,0,0,0,0,600,600,0
393,'b','c','W',68040,1049,50,51,'b',1,0,1,0,0,0,0,0,4000,4000,0
394,'a','a','N',2910,80,-58,-54,'a',0,0,0,0,0,0,0,0,0,0,0
395,'b','a','N',12340,125,-88,-79,'a',1,1,0,0,0,0,0,0,400,400,0
396,'b','b','W',87060,1043,212,122,'a',2,1,1,0,0,0,0,0,2800,2000,0
397,'b','a','W',15600,274,-39,-30,'a',0,0,0,0,0,0,0,0,0,0,0
398,'a','b','N',10070,243,-6,0,'a',0,0,0,0,0,0,0,0,0,0,0
399,'a','a','N',8750,47,-80,-75,'a',0,0,0,0,0,0,0,0,0,0,0
400,'a','a','W',19420,279,-35,-13,'a',4,3,1,0,0,0,0,0,2800,1000,0
401,'b','a','W',29790,695,121,80,'a',0,0,0,0,0,0,0,0,0,0,0
402,'b','b','N',48590,134,28,84,'b',1,0,0,1,0,0,0,0,20000,20000,0
403,'b','a','W',28910,307,115,20,'a',0,0,0,0,0,0,0,0,0,0,0
404,'a','b','N',54770,1913,445,450,'c',0,0,0,0,0,0,0,0,0,0,0
405,'a','a','N',5280,232,-43,5,'a',0,0,0,0,0,0,0,0,0,0,0
406,'b','a','W',22860,313,-42,-16,'a',6,1,3,2,0,0,0,0,70500,50000,0
407,'a','b','W',32920,363,32,-27,'a',0,0,0,0,0,0,0,0,0,0,1
408,'a','a','W',891720,2037,11,0,'a',0,0,0,0,0,0,0,0,0,0,0
409,'a','b','W',12980,436,-13,16,'b',0,0,0,0,0,0,0,0,0,0,0
410,'a','b','W',68130,162,-9,-9,'a',2,2,0,0,0,0,0,0,1000,600,0
411,'a','b','W',28780,1294,-18,26,'a',0,0,0,0,0,0,0,0,0,0,0
412,'a','a','W',61200,625,116,34,'a',0,0,0,0,0,0,0,0,0,0,0
413,'a','a','N',5310,287,-58,15,'a',0,0,0,0,0,0,0,0,0,0,0
414,'a','b','W',104410,631,54,50,'a',3,2,1,0,0,0,0,0,1600,1000,0
415,'a','a','W',80100,867,150,35,'a',2,1,1,0,0,0,0,0,1500,1000,0
416,'b','b','W',74380,895,153,80,'a',0,0,0,0,0,0,0,0,0,0,0
417,'a','a','W',38230,835,61,63,'a',0,0,0,0,0,0,0,0,0,0,0
418,'a','b','W',44800,350,253,52,'b',0,0,0,0,0,0,0,0,0,0,0
419,'b','a','W',833660,2493,22,32,'a',4,2,2,0,0,0,0,0,11000,6000,0
420,'a','b','N',20840,52,-14,-3,'a',0,0,0,0,0,0,0,0,0,0,0
421,'a','a','N',6470,98,-7,-41,'a',0,0,0,0,0,0,0,0,0,0,0
422,'a','b','W',28280,498,-5,20,'a',1,0,1,0,0,0,0,0,5000,5000,0
423,'a','a','W',36520,209,-55,-81,'a',3,2,1,0,0,0,0,0,9800,9000,0
424,'a','a','N',129740,306,-39,-44,'a',0,0,0,0,0,0,0,0,0,0,0
425,'b','b','W',30150,691,13,52,'a',0,0,0,0,0,0,0,0,0,0,0
426,'b','b','N',20340,271,16,93,'a',2,0,1,0,1,0,0,0,202000,2e+05,0
427,'a','a','W',29320,526,125,101,'a',1,0,0,1,0,0,0,0,90000,90000,0
428,'a','a','N',18410,30,-33,-61,'a',0,0,0,0,0,0,0,0,0,0,0
429,'a','a','N',4580,91,-72,-50,'a',1,0,1,0,0,0,0,0,1000,1000,0
430,'a','a','W',29150,259,0,18,'a',1,1,0,0,0,0,0,0,600,600,1
431,'a','c','W',53180,1048,34,70,'c',0,0,0,0,0,0,0,0,0,0,0
432,'a','b','W',49930,1525,43,49,'a',2,1,0,1,0,0,0,0,10200,10000,0
433,'a','a','N',8960,28,-71,-51,'a',0,0,0,0,0,0,0,0,0,0,0
434,'b','b','W',45330,648,72,40,'b',2,2,0,0,0,0,0,0,900,600,1
435,'a','a','N',6070,46,14,-9,'a',1,0,1,0,0,0,0,0,3000,3000,0
436,'a','b','N',12260,413,31,32,'a',1,1,0,0,0,0,0,0,200,200,0
437,'a','a','N',290,3,-67,-92,'a',1,0,1,0,0,0,0,0,3000,3000,0
438,'b','b','W',47600,763,78,68,'a',0,0,0,0,0,0,0,0,0,0,0
439,'b','b','W',21430,776,-37,-19,'b',0,0,0,0,0,0,0,0,0,0,0
440,'a','a','N',2940,65,-20,-40,'a',0,0,0,0,0,0,0,0,0,0,0
441,'b','a','W',31430,553,1,10,'a',1,1,0,0,0,0,0,0,600,600,0
442,'b','a','W',15650,316,-52,-28,'a',0,0,0,0,0,0,0,0,0,0,0
443,'a','b','N',12290,471,30,49,'a',1,1,0,0,0,0,0,0,500,500,0
444,'a','a','N',6150,25,97,-38,'a',0,0,0,0,0,0,0,0,0,0,0
445,'a','a','N',7090,220,-38,-10,'a',0,0,0,0,0,0,0,0,0,0,0
446,'a','b','N',8780,226,-10,-1,'a',0,0,0,0,0,0,0,0,0,0,0
447,'a','a','W',75050,675,134,5,'a',3,0,3,0,0,0,0,0,13000,8000,0
448,'a','b','W',16540,213,2,-11,'a',0,0,0,0,0,0,0,0,0,0,0
449,'a','a','W',22900,332,20,-1,'a',0,0,0,0,0,0,0,0,0,0,0
450,'a','a','N',75930,305,-38,-27,'a',1,0,1,0,0,0,0,0,6000,6000,0
451,'a','a','N',6040,41,-13,-33,'a',2,1,1,0,0,0,0,0,3300,3000,0
452,'b','b','W',21320,402,-38,-30,'a',0,0,0,0,0,0,0,0,0,0,0
453,'a','a','W',21480,537,-32,2,'a',0,0,0,0,0,0,0,0,0,0,0
454,'a','a','W',33330,482,-5,-12,'a',2,1,0,1,0,0,0,0,40200,40000,0
455,'a','a','N',5890,301,-43,-13,'a',0,0,0,0,0,0,0,0,0,0,0
456,'a','b','N',6690,163,-3,0,'a',0,0,0,0,0,0,0,0,0,0,0
457,'a','a','W',26550,330,-17,-23,'a',2,1,1,0,0,0,0,0,1700,1000,0
458,'a','a','W',12350,296,101,21,'a',0,0,0,0,0,0,0,0,0,0,0
459,'b','a','W',29720,368,12,-14,'a',1,0,1,0,0,0,0,0,4000,4000,0
460,'b','a','W',36410,646,152,142,'a',0,0,0,0,0,0,0,0,0,0,1
461,'a','a','W',47690,518,42,63,'a',6,4,2,0,0,0,0,0,7400,3000,0
462,'a','a','W',15080,306,-56,-48,'a',0,0,0,0,0,0,0,0,0,0,0
463,'a','b','N',29650,93,-51,-20,'a',0,0,0,0,0,0,0,0,0,0,0
464,'a','b','N',4030,127,-13,48,'b',0,0,0,0,0,0,0,0,0,0,0
465,'a','a','N',3210,47,-93,-82,'a',0,0,0,0,0,0,0,0,0,0,0
466,'b','a','W',38010,410,-10,10,'a',1,0,1,0,0,0,0,0,1000,1000,0
467,'a','b','W',15190,367,-39,-18,'a',0,0,0,0,0,0,0,0,0,0,0
468,'a','b','W',111510,169,-36,-63,'a',2,0,2,0,0,0,0,0,5000,3000,0
469,'a','b','W',16110,402,23,23,'b',0,0,0,0,0,0,0,0,0,0,0
470,'b','a','N',15600,548,67,83,'a',0,0,0,0,0,0,0,0,0,0,0
471,'b','a','W',593950,1972,-13,-2,'a',4,2,1,1,0,0,0,0,32800,30000,0
472,'a','b','W',40140,417,19,35,'a',6,2,4,0,0,0,0,0,11300,4000,0
473,'a','a','N',14720,33,-70,-79,'a',1,0,1,0,0,0,0,0,2000,2000,0
474,'b','b','W',13590,359,-51,-23,'a',1,0,1,0,0,0,0,0,1000,1000,0
475,'a','a','W',178220,371,13,7,'a',2,2,0,0,0,0,0,0,800,400,0
476,'b','a','W',31620,520,-9,-4,'a',0,0,0,0,0,0,0,0,0,0,0
477,'a','c','W',151920,1132,255,71,'b',2,1,0,1,0,0,0,0,20300,20000,0
478,'a','a','N',3410,16,-66,-60,'a',0,0,0,0,0,0,0,0,0,0,0
479,'a','b','W',38360,759,29,83,'a',1,0,1,0,0,0,0,0,7000,7000,0
480,'b','a','W',788650,2361,18,17,'a',3,2,1,0,0,0,0,0,6100,5000,1
481,'a','b','N',7560,133,-34,-47,'a',1,0,1,0,0,0,0,0,4000,4000,0
482,'b','a','W',24140,285,-27,-35,'a',0,0,0,0,0,0,0,0,0,0,0
483,'b','b','W',23020,669,27,40,'a',0,0,0,0,0,0,0,0,0,0,0
484,'a','b','W',48820,446,57,75,'b',5,4,1,0,0,0,0,0,3900,2000,0
485,'b','a','W',568200,1834,-16,-7,'a',4,2,1,1,0,0,0,0,32700,30000,1
486,'a','a','W',788230,1484,-1,-1,'a',0,0,0,0,0,0,0,0,0,0,0
487,'a','b','N',8190,325,-13,3,'a',0,0,0,0,0,0,0,0,0,0,0
488,'a','a','W',26800,657,54,13,'a',0,0,0,0,0,0,0,0,0,0,0
489,'a','a','N',7920,248,-23,-28,'a',0,0,0,0,0,0,0,0,0,0,0
490,'b','a','W',577770,2765,27,38,'a',1,0,1,0,0,0,0,0,2000,2000,1
491,'a','a','N',6390,138,-29,-36,'a',0,0,0,0,0,0,0,0,0,0,0
492,'a','a','N',3120,190,-75,-24,'a',0,0,0,0,0,0,0,0,0,0,0
493,'a','a','W',18130,463,-51,-24,'a',0,0,0,0,0,0,0,0,0,0,0
494,'a','b','W',93510,1375,86,120,'b',3,2,1,0,0,0,0,0,5700,5000,0
495,'a','b','W',16940,455,-1,6,'a',1,0,0,1,0,0,0,0,30000,30000,0
496,'a','b','W',121400,1063,-23,-29,'a',2,0,2,0,0,0,0,0,8000,6000,0
497,'a','a','N',5760,65,-36,-70,'a',0,0,0,0,0,0,0,0,0,0,0
498,'b','b','W',24950,344,-7,-21,'a',1,1,0,0,0,0,0,0,300,300,0
499,'a','a','N',6220,76,-26,-65,'a',0,0,0,0,0,0,0,0,0,0,0
500,'a','a','W',17690,284,-24,-26,'a',1,1,0,0,0,0,0,0,300,300,0
501,'b','b','W',21300,257,33,10,'a',0,0,0,0,0,0,0,0,0,0,0
502,'a','a','W',40070,501,16,-11,'a',0,0,0,0,0,0,0,0,0,0,1
503,'b','a','N',26510,445,155,17,'a',1,1,0,0,0,0,0,0,900,900,0
504,'a','a','N',13160,46,-71,-76,'a',0,0,0,0,0,0,0,0,0,0,0
505,'b','a','W',14660,229,-3,-25,'a',0,0,0,0,0,0,0,0,0,0,0
506,'a','a','N',5640,296,-47,-21,'a',0,0,0,0,0,0,0,0,0,0,0
507,'b','b','W',66780,2022,169,204,'a',0,0,0,0,0,0,0,0,0,0,0
508,'b','b','W',58460,540,73,1,'a',2,1,1,0,0,0,0,0,3900,3000,1
509,'b','a','W',450060,2019,-33,-2,'a',3,0,3,0,0,0,0,0,14000,8000,0
510,'b','b','N',20620,808,105,132,'a',0,0,0,0,0,0,0,0,0,0,0
511,'a','a','W',172530,2873,18,44,'a',3,2,1,0,0,0,0,0,2300,1000,0
512,'b','a','W',9820,167,-60,-58,'a',0,0,0,0,0,0,0,0,0,0,0
513,'a','a','N',4170,181,-49,-34,'a',0,0,0,0,0,0,0,0,0,0,0
514,'b','a','W',20670,376,-25,-10,'a',0,0,0,0,0,0,0,0,0,0,0
515,'a','a','N',144520,407,-34,-27,'a',1,0,1,0,0,0,0,0,3000,3000,0
516,'b','a','W',21200,794,-43,-24,'a',1,1,0,0,0,0,0,0,200,200,0
517,'a','a','N',9540,339,3,53,'a',0,0,0,0,0,0,0,0,0,0,0
518,'a','b','W',3590,203,-69,-60,'a',0,0,0,0,0,0,0,0,0,0,0
519,'a','b','W',9410,383,-37,2,'b',0,0,0,0,0,0,0,0,0,0,0
520,'a','b','W',133430,1074,5,-9,'a',6,2,4,0,0,0,0,0,16700,8000,0
521,'b','b','W',26370,524,73,119,'a',1,0,0,1,0,0,0,0,30000,30000,0
522,'a','b','W',31510,323,-22,-27,'a',4,3,1,0,0,0,0,0,2700,2000,0
523,'a','a','W',33660,248,9,28,'a',4,2,2,0,0,0,0,0,11100,8000,0
524,'a','a','W',22530,328,-39,-46,'a',1,1,0,0,0,0,0,0,400,400,0
525,'b','a','W',28900,692,0,-13,'a',0,0,0,0,0,0,0,0,0,0,0
526,'b','b','W',59210,705,73,23,'a',2,0,2,0,0,0,0,0,4000,2000,0
527,'a','b','W',436650,1232,23,6,'a',0,0,0,0,0,0,0,0,0,0,0
528,'a','b','N',58230,279,8,27,'a',0,0,0,0,0,0,0,0,0,0,0
529,'a','a','W',24100,197,16,-45,'a',0,0,0,0,0,0,0,0,0,0,0
530,'a','a','W',60420,537,30,43,'a',2,1,1,0,0,0,0,0,4500,4000,0
531,'b','a','W',33760,568,-7,35,'a',3,1,1,1,0,0,0,0,81500,80000,0
532,'a','a','W',15160,180,-33,-55,'a',1,1,0,0,0,0,0,0,500,500,0
533,'a','a','N',10720,271,-5,11,'a',1,1,0,0,0,0,0,0,300,300,0
534,'b','b','W',18540,896,-55,-22,'a',0,0,0,0,0,0,0,0,0,0,0
535,'b','b','W',1134540,1363,1,-5,'a',2,0,2,0,0,0,0,0,7000,5000,0
536,'a','a','N',40370,755,223,202,'a',0,0,0,0,0,0,0,0,0,0,0
537,'a','b','W',25850,595,100,83,'b',0,0,0,0,0,0,0,0,0,0,0
538,'b','a','W',30140,426,-4,-5,'a',4,1,3,0,0,0,0,0,11900,6000,0
539,'a','b','W',32460,469,10,12,'a',0,0,0,0,0,0,0,0,0,0,0
540,'a','a','N',2570,10,18,-75,'a',0,0,0,0,0,0,0,0,0,0,0
541,'a','a','W',22890,283,104,23,'a',0,0,0,0,0,0,0,0,0,0,0
542,'b','b','N',4600,105,-63,-58,'a',0,0,0,0,0,0,0,0,0,0,0
543,'b','a','W',57010,535,144,14,'a',1,1,0,0,0,0,0,0,600,600,0
544,'b','a','W',28300,569,-41,-20,'a',1,0,1,0,0,0,0,0,8000,8000,0
545,'b','b','W',32500,873,97,90,'b',1,1,0,0,0,0,0,0,300,300,0
546,'a','a','W',129190,278,47,67,'a',4,1,3,0,0,0,0,0,13500,8000,0
547,'b','a','W',29370,694,0,40,'a',0,0,0,0,0,0,0,0,0,0,0
548,'b','b','N',21780,428,110,13,'a',1,0,1,0,0,0,0,0,8000,8000,0
549,'b','b','W',26750,408,8,-10,'b',0,0,0,0,0,0,0,0,0,0,0
550,'b','b','N',2970,142,-71,-61,'b',0,0,0,0,0,0,0,0,0,0,0
551,'a','b','W',20160,262,-40,-39,'a',3,3,0,0,0,0,0,0,1600,800,0
552,'a','a','W',53900,320,-36,-20,'a',2,0,2,0,0,0,0,0,4000,2000,0
553,'a','a','N',6260,98,-26,-42,'a',0,0,0,0,0,0,0,0,0,0,0
554,'b','a','W',632800,2959,39,41,'a',2,0,1,1,0,0,0,0,25000,20000,0
555,'b','b','N',32600,880,224,153,'a',2,1,0,1,0,0,0,0,60500,60000,0
556,'a','a','W',31720,423,-6,-21,'a',1,1,0,0,0,0,0,0,300,300,0
557,'a','a','N',2290,6,-7,-85,'a',0,0,0,0,0,0,0,0,0,0,0
558,'b','a','W',44330,485,27,-10,'a',0,0,0,0,0,0,0,0,0,0,0
559,'a','a','N',2960,91,-19,-16,'a',0,0,0,0,0,0,0,0,0,0,0
560,'a','b','W',18510,289,-42,-42,'a',0,0,0,0,0,0,0,0,0,0,0
561,'b','a','W',44990,508,36,16,'a',2,1,1,0,0,0,0,0,5500,5000,0
562,'b','b','W',28360,781,7,68,'b',0,0,0,0,0,0,0,0,0,0,0
563,'b','b','W',19420,591,9,29,'a',0,0,0,0,0,0,0,0,0,0,0
564,'b','a','W',21660,433,-30,-14,'a',0,0,0,0,0,0,0,0,0,0,0
565,'a','a','W',60200,449,32,24,'a',5,3,2,0,0,0,0,0,9200,5000,0
566,'b','a','N',18440,398,122,137,'a',1,1,0,0,0,0,0,0,200,200,0
567,'b','b','W',36650,414,41,-14,'a',0,0,0,0,0,0,0,0,0,0,0
568,'a','c','N',24620,490,222,106,'c',1,1,0,0,0,0,0,0,400,400,0
569,'b','a','W',20660,400,-34,-11,'a',1,1,0,0,0,0,0,0,400,400,0
570,'a','a','W',465730,1325,-7,-12,'a',1,0,1,0,0,0,0,0,4000,4000,0
571,'a','b','W',32270,631,8,52,'a',1,1,0,0,0,0,0,0,500,500,0
572,'b','a','W',108280,2157,190,106,'a',2,1,1,0,0,0,0,0,9500,9000,0
573,'a','a','N',6760,136,-41,-39,'a',1,0,1,0,0,0,0,0,1000,1000,0
574,'a','b','W',10150,326,-25,-3,'b',0,0,0,0,0,0,0,0,0,0,0
575,'a','a','N',1070,17,-73,-65,'a',0,0,0,0,0,0,0,0,0,0,0
576,'a','a','W',25630,423,-24,-21,'a',0,0,0,0,0,0,0,0,0,0,0
577,'a','a','W',336600,984,-32,-34,'a',1,0,1,0,0,0,0,0,4000,4000,0
578,'a','b','W',121520,247,-25,-26,'a',1,1,0,0,0,0,0,0,400,400,0
579,'a','a','W',18470,525,-46,-41,'a',0,0,0,0,0,0,0,0,0,0,0
580,'b','b','W',28150,1047,-31,-9,'a',0,0,0,0,0,0,0,0,0,0,0
581,'a','b','W',12600,266,-60,-47,'a',0,0,0,0,0,0,0,0,0,0,0
582,'b','a','W',16330,270,7,-14,'a',0,0,0,0,0,0,0,0,0,0,0
583,'a','b','W',15010,368,-42,-24,'a',1,1,0,0,0,0,0,0,800,800,0
584,'a','a','W',34150,346,17,38,'a',2,1,1,0,0,0,0,0,6300,6000,0
585,'a','a','N',24900,159,-57,-29,'a',0,0,0,0,0,0,0,0,0,0,0
586,'b','a','W',229070,2597,30,51,'a',2,0,0,2,0,0,0,0,1e+05,80000,0
587,'b','b','W',13740,218,-55,-42,'a',0,0,0,0,0,0,0,0,0,0,1
588,'a','a','W',7320,177,-71,-65,'a',0,0,0,0,0,0,0,0,0,0,0
589,'b','a','W',9510,258,-71,-41,'a',0,0,0,0,0,0,0,0,0,0,0
590,'b','b','W',22720,181,-9,-64,'a',0,0,0,0,0,0,0,0,0,0,0
591,'a','a','N',23440,514,151,59,'a',1,0,1,0,0,0,0,0,8000,8000,0
592,'b','b','N',6200,211,-50,-16,'a',0,0,0,0,0,0,0,0,0,0,0
593,'b','b','W',1283710,1556,17,9,'a',2,1,0,1,0,0,0,0,40600,40000,0
594,'a','a','W',16320,297,-45,-41,'a',0,0,0,0,0,0,0,0,0,0,0
595,'b','a','N',12380,126,-56,-35,'a',1,0,0,1,0,0,0,0,70000,70000,0
596,'a','a','W',43290,663,36,26,'a',0,0,0,0,0,0,0,0,0,0,0
597,'a','a','N',2840,115,18,-1,'a',0,0,0,0,0,0,0,0,0,0,0
598,'b','b','W',21770,292,35,28,'a',0,0,0,0,0,0,0,0,0,0,0
599,'b','a','W',55120,713,85,59,'a',2,1,1,0,0,0,0,0,9200,9000,0
600,'a','a','W',1661100,1772,52,32,'a',1,0,1,0,0,0,0,0,9000,9000,0
601,'a','b','W',150220,709,53,-25,'a',2,0,1,1,0,0,0,0,23000,20000,0
602,'b','a','W',430310,1955,92,37,'a',2,1,1,0,0,0,0,0,1200,1000,0
603,'b','a','W',172250,1250,-43,-50,'a',2,0,1,1,0,0,0,0,73000,70000,0
604,'a','a','W',79240,1381,124,47,'a',0,0,0,0,0,0,0,0,0,0,1
